Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit,Firefox 59.0,,2018-07-24 16:27:52,2018-07-24 16:28:38,45.874s,PASSED
,,,,,,
Test Cases/Login/edit,Firefox 59.0,,2018-07-24 16:27:52,2018-07-24 16:28:37,45.295s,PASSED
openBrowser,Firefox 59.0,,2018-07-24 16:27:52,2018-07-24 16:28:18,25.799s,PASSED
navigateToUrl,Firefox 59.0,,2018-07-24 16:28:18,2018-07-24 16:28:23,4.747s,PASSED
setText,Firefox 59.0,,2018-07-24 16:28:23,2018-07-24 16:28:23,0.104s,PASSED
setEncryptedText,Firefox 59.0,,2018-07-24 16:28:23,2018-07-24 16:28:24,0.892s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:24,2018-07-24 16:28:27,2.563s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:27,2018-07-24 16:28:27,0.893s,PASSED
setText,Firefox 59.0,,2018-07-24 16:28:27,2018-07-24 16:28:28,0.108s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:28,2018-07-24 16:28:28,0.246s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:28,2018-07-24 16:28:28,0.652s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:28,2018-07-24 16:28:30,1.426s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:30,2018-07-24 16:28:30,0.267s,PASSED
setText,Firefox 59.0,,2018-07-24 16:28:30,2018-07-24 16:28:30,0.054s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:30,2018-07-24 16:28:32,1.770s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:32,2018-07-24 16:28:32,0.545s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:32,2018-07-24 16:28:34,1.287s,PASSED
setText,Firefox 59.0,,2018-07-24 16:28:34,2018-07-24 16:28:34,0.052s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:34,2018-07-24 16:28:34,0.233s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:34,2018-07-24 16:28:35,0.559s,PASSED
click,Firefox 59.0,,2018-07-24 16:28:35,2018-07-24 16:28:35,0.565s,PASSED
