Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
assignment1,Firefox 59.0,,2018-07-24 15:46:13,2018-07-24 15:47:32,1m - 19.317s,PASSED
,,,,,,
Test Cases/Login/Assignment Practice,Firefox 59.0,,2018-07-24 15:46:13,2018-07-24 15:46:48,34.748s,PASSED
openBrowser,Firefox 59.0,,2018-07-24 15:46:14,2018-07-24 15:46:40,25.767s,PASSED
navigateToUrl,Firefox 59.0,,2018-07-24 15:46:40,2018-07-24 15:46:44,4.789s,PASSED
setText,Firefox 59.0,,2018-07-24 15:46:44,2018-07-24 15:46:44,0.124s,PASSED
setText,Firefox 59.0,,2018-07-24 15:46:44,2018-07-24 15:46:44,0.049s,PASSED
click,Firefox 59.0,,2018-07-24 15:46:44,2018-07-24 15:46:46,1.538s,PASSED
,,,,,,
Test Cases/Login/Assignment1,Firefox 59.0,Orangehrmdemo,2018-07-24 15:46:48,2018-07-24 15:47:32,44.010s,PASSED
openBrowser,Firefox 59.0,,2018-07-24 15:46:48,2018-07-24 15:47:13,25.114s,PASSED
navigateToUrl,Firefox 59.0,,2018-07-24 15:47:13,2018-07-24 15:47:18,4.777s,PASSED
setText,Firefox 59.0,,2018-07-24 15:47:18,2018-07-24 15:47:18,0.067s,PASSED
setEncryptedText,Firefox 59.0,,2018-07-24 15:47:18,2018-07-24 15:47:19,0.764s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:19,2018-07-24 15:47:21,2.483s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:21,2018-07-24 15:47:22,0.735s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:22,2018-07-24 15:47:23,0.723s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:23,2018-07-24 15:47:24,0.718s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:24,2018-07-24 15:47:25,1.063s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:25,2018-07-24 15:47:26,1.677s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:26,2018-07-24 15:47:27,0.497s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:27,2018-07-24 15:47:30,2.749s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:30,2018-07-24 15:47:30,0.231s,PASSED
click,Firefox 59.0,,2018-07-24 15:47:30,2018-07-24 15:47:30,0.226s,PASSED
